WL(nm),PL,PE(mW/nm),,
724,0.0801,5.429707,,
725,0.078,5.285212,,
726,0.0756,5.12841,,
727,0.0733,4.971608,,
728,0.071,4.814806,,
729,0.0687,4.658005,,
730,0.0664,4.501203,,
731,0.0646,4.379133,,
732,0.0628,4.257064,,
733,0.061,4.134995,,
734,0.0592,4.012925,,
735,0.0574,3.890856,,
736,0.056,3.794451,,
737,0.0545,3.698046,,
738,0.0531,3.601641,,
739,0.0517,3.505236,,
740,0.0503,3.408831,,
741,0.0489,3.318514,,
742,0.0476,3.228197,,
743,0.0463,3.137881,,
744,0.045,3.047564,,
745,0.0436,2.957247,,
746,0.0426,2.885761,,
747,0.0415,2.814275,,
748,0.0405,2.742788,,
749,0.0394,2.671302,,
750,0.0383,2.599816,,
751,0.0371,2.518587,,
752,0.036,2.437358,,
753,0.0348,2.35613,,
754,0.0336,2.274901,,
755,0.0324,2.193672,,
756,0.0314,2.130581,,
757,0.0305,2.06749,,
758,0.0296,2.004399,,
759,0.0286,1.941308,,
760,0.0277,1.878217,,
761,0.027,1.832844,,
762,0.0264,1.78747,,
763,0.0257,1.742097,,
764,0.025,1.696724,,
765,0.0244,1.65135,,
766,0.0237,1.610125,,
767,0.0231,1.5689,,
768,0.0225,1.527675,,
769,0.0219,1.48645,,
770,0.0213,1.445225,,
771,0.0207,1.40324,,
772,0.0201,1.361256,,
773,0.0195,1.319272,,
774,0.0188,1.277288,,
775,0.0182,1.235304,,
776,0.018,1.218985,,
777,0.0177,1.202667,,
778,0.0175,1.186349,,
779,0.0173,1.170031,,
780,0.017,1.153713,,
781,0.0164,1.11473,,
782,0.0159,1.075748,,
783,0.0153,1.036766,,
784,0.0147,0.997784,,
785,0.0141,0.958802,,
786,0.0138,0.937775,,
787,0.0135,0.916749,,
788,0.0132,0.895722,,
789,0.0129,0.874696,,
790,0.0126,0.853669,,
791,0.0122,0.826736,,
792,0.0118,0.799804,,
793,0.0114,0.772871,,
794,0.011,0.745938,,
795,0.0106,0.719005,,
796,0.0104,0.704442,,
797,0.0102,0.689878,,
798,0.01,0.675314,,
799,0.0097,0.66075,,
800,0.0095,0.646186,,
