?®?§(nm),œ‡?‘?‚??,æ¯?‘?‚??(mW/nm),,
719,0.0601,6.248295,,
720,0.0589,6.1197,,
721,0.0576,5.988851,,
722,0.0564,5.858001,,
723,0.0551,5.727152,,
724,0.0539,5.596303,,
725,0.0526,5.465453,,
726,0.0513,5.33043,,
727,0.05,5.195406,,
728,0.0487,5.060382,,
729,0.0474,4.925358,,
730,0.0461,4.790334,,
731,0.0449,4.667043,,
732,0.0437,4.543752,,
733,0.0426,4.42046,,
734,0.0414,4.297169,,
735,0.0402,4.173878,,
736,0.0393,4.082309,,
737,0.0384,3.99074,,
738,0.0375,3.899172,,
739,0.0367,3.807603,,
740,0.0358,3.716034,,
741,0.035,3.631682,,
742,0.0341,3.54733,,
743,0.0333,3.462978,,
744,0.0325,3.378626,,
745,0.0317,3.294274,,
746,0.031,3.216727,,
747,0.0302,3.13918,,
748,0.0295,3.061633,,
749,0.0287,2.984086,,
750,0.028,2.906539,,
751,0.0275,2.854029,,
752,0.027,2.801519,,
753,0.0265,2.749009,,
754,0.026,2.6965,,
755,0.0255,2.64399,,
756,0.0248,2.573244,,
757,0.0241,2.502497,,
758,0.0234,2.431751,,
759,0.0227,2.361005,,
760,0.022,2.290259,,
761,0.0214,2.22616,,
762,0.0208,2.162061,,
763,0.0202,2.097962,,
764,0.0196,2.033863,,
765,0.019,1.969764,,
766,0.0187,1.943943,,
767,0.0185,1.918123,,
768,0.0182,1.892303,,
769,0.018,1.866483,,
770,0.0177,1.840663,,
771,0.0173,1.79837,,
772,0.0169,1.756077,,
773,0.0165,1.713785,,
774,0.0161,1.671493,,
775,0.0157,1.6292,,
776,0.0152,1.578054,,
777,0.0147,1.526909,,
778,0.0142,1.475763,,
779,0.0137,1.424617,,
780,0.0132,1.373472,,
781,0.0131,1.357249,,
782,0.0129,1.341026,,
783,0.0128,1.324804,,
784,0.0126,1.308581,,
785,0.0124,1.292358,,
786,0.012,1.251579,,
787,0.0117,1.210799,,
788,0.0113,1.170019,,
789,0.0109,1.129239,,
790,0.0105,1.088459,,
791,0.0102,1.060225,,
792,0.0099,1.031991,,
793,0.0097,1.003757,,
794,0.0094,0.975523,,
795,0.0091,0.947289,,
796,0.009,0.933862,,
797,0.0089,0.920434,,
798,0.0087,0.907006,,
799,0.0086,0.893578,,
800,0.0085,0.88015,,
