?®?§(nm),œ‡?‘?‚??,æ¯?‘?‚??(mW/nm),,,
691,0.1805,11.846221,,,
692,0.1767,11.598494,,,
693,0.1729,11.350766,,,
694,0.1692,11.103039,,,
695,0.1654,10.855312,,,
696,0.1615,10.599031,,,
697,0.1576,10.342749,,,
698,0.1537,10.086468,,,
699,0.1498,9.830187,,,
700,0.1459,9.573905,,,
701,0.1434,9.414005,,,
702,0.141,9.254104,,,
703,0.1386,9.094203,,,
704,0.1361,8.934303,,,
705,0.1337,8.774402,,,
706,0.1301,8.53618,,,
707,0.1264,8.29796,,,
708,0.1228,8.059738,,,
709,0.1192,7.821516,,,
710,0.1155,7.583295,,,
711,0.1129,7.406894,,,
712,0.1102,7.230492,,,
713,0.1075,7.05409,,,
714,0.1048,6.877689,,,
715,0.1021,6.701287,,,
716,0.1,6.566202,,,
717,0.098,6.431116,,,
718,0.0959,6.296031,,,
719,0.0939,6.160945,,,
720,0.0918,6.02586,,,
721,0.0898,5.896308,,,
722,0.0879,5.766755,,,
723,0.0859,5.637203,,,
724,0.0839,5.507651,,,
725,0.0819,5.378099,,,
726,0.0797,5.233937,,,
727,0.0775,5.089776,,,
728,0.0754,4.945615,,,
729,0.0732,4.801454,,,
730,0.071,4.657293,,,
731,0.0693,4.548572,,,
732,0.0676,4.439851,,,
733,0.066,4.33113,,,
734,0.0643,4.22241,,,
735,0.0627,4.11369,,,
736,0.0616,4.045568,,,
737,0.0606,3.977447,,,
738,0.0596,3.909325,,,
739,0.0585,3.841204,,,
740,0.0575,3.773083,,,
741,0.0559,3.666452,,,
742,0.0542,3.559822,,,
743,0.0526,3.453191,,,
744,0.051,3.34656,,,
745,0.0494,3.23993,,,
746,0.0483,3.170586,,,
747,0.0473,3.101242,,,
748,0.0462,3.031899,,,
749,0.0451,2.962555,,,
750,0.0441,2.893211,,,
751,0.0432,2.835462,,,
752,0.0423,2.777713,,,
753,0.0414,2.719964,,,
754,0.0406,2.662214,,,
755,0.0397,2.604465,,,
756,0.0385,2.526812,,,
757,0.0373,2.449159,,,
758,0.0361,2.371505,,,
759,0.0349,2.293852,,,
760,0.0338,2.216199,,,
761,0.0332,2.177071,,,
762,0.0326,2.137943,,,
763,0.032,2.098815,,,
764,0.0314,2.059687,,,
765,0.0308,2.020559,,,
766,0.0299,1.965448,,,
767,0.0291,1.910336,,,
768,0.0283,1.855225,,,
769,0.0274,1.800114,,,
770,0.0266,1.745002,,,
771,0.0261,1.712265,,,
772,0.0256,1.679527,,,
773,0.0251,1.646789,,,
774,0.0246,1.614052,,,
775,0.0241,1.581314,,,
776,0.0234,1.538084,,,
777,0.0228,1.494854,,,
778,0.0221,1.451623,,,
779,0.0215,1.408393,,,
780,0.0208,1.365163,,,
781,0.0205,1.344988,,,
782,0.0202,1.324813,,,
783,0.0199,1.304638,,,
784,0.0196,1.284463,,,
785,0.0193,1.264288,,,
786,0.0189,1.242913,,,
787,0.0186,1.221537,,,
788,0.0183,1.200162,,,
789,0.018,1.178787,,,
790,0.0176,1.157411,,,
791,0.017,1.115402,,,
792,0.0164,1.073393,,,
793,0.0157,1.031384,,,
794,0.0151,0.989376,,,
795,0.0144,0.947367,,,
796,0.0141,0.922618,,,
797,0.0137,0.89787,,,
798,0.0133,0.873122,,,
799,0.0129,0.848374,,,
800,0.0125,0.823626,,,
