Sloan Digital Sky Survey filter set for DIAFI,,,,,
,,,,,
Lambda,u',g',r',I',z'
990.0,0.005425,0.004254,0.004682,0.003642,95.068413
989.5,0.005915,0.004166,0.004741,0.003442,95.009415
989.0,0.005565,0.004073,0.004571,0.002904,94.964828
988.5,0.005727,0.004595,0.004219,0.003241,94.934387
988.0,0.006294,0.003934,0.004873,0.003937,94.939568
987.5,0.005870,0.004331,0.004534,0.003027,94.895294
987.0,0.005429,0.003953,0.004585,0.003219,94.843201
986.5,0.005720,0.004076,0.005197,0.003013,94.800476
986.0,0.005552,0.004486,0.004484,0.002661,94.787430
985.5,0.005205,0.004648,0.004776,0.003508,94.783455
985.0,0.005588,0.004357,0.004644,0.003679,94.747192
984.5,0.005755,0.003830,0.005005,0.003042,94.695099
984.0,0.005462,0.004375,0.004678,0.003188,94.668251
983.5,0.004992,0.004303,0.005183,0.002764,94.653130
983.0,0.005422,0.004235,0.004850,0.003188,94.651100
982.5,0.005324,0.003699,0.004942,0.002970,94.614975
982.0,0.005209,0.003624,0.004938,0.003558,94.588043
981.5,0.005151,0.004207,0.004920,0.002640,94.566414
981.0,0.004405,0.004143,0.005205,0.002541,94.562370
980.5,0.005219,0.004409,0.005027,0.003485,94.553864
980.0,0.005773,0.004422,0.004837,0.002847,94.533295
979.5,0.005086,0.004314,0.004992,0.003890,94.510666
979.0,0.004858,0.004086,0.004855,0.003443,94.510910
978.5,0.004984,0.004105,0.005201,0.003579,94.502457
978.0,0.005273,0.003865,0.004916,0.003447,94.491402
977.5,0.005193,0.003882,0.005515,0.003358,94.491478
977.0,0.005675,0.003777,0.005116,0.003194,94.498619
976.5,0.004788,0.004065,0.005153,0.003372,94.494102
976.0,0.005065,0.003882,0.005264,0.003181,94.492950
975.5,0.005249,0.004112,0.005007,0.003843,94.490952
975.0,0.005074,0.004395,0.005408,0.002916,94.499138
974.5,0.005375,0.003550,0.005327,0.003095,94.515038
974.0,0.005058,0.003976,0.004949,0.003057,94.526802
973.5,0.004921,0.004021,0.004974,0.003084,94.520050
973.0,0.004924,0.003943,0.005409,0.003390,94.516632
972.5,0.004845,0.003920,0.005522,0.003284,94.543686
972.0,0.005196,0.004328,0.005542,0.003167,94.569252
971.5,0.005200,0.003970,0.005113,0.003121,94.600037
971.0,0.004597,0.003938,0.005404,0.003426,94.592163
970.5,0.005143,0.003940,0.005628,0.003304,94.593544
970.0,0.005205,0.003515,0.005120,0.003391,94.614883
969.5,0.004600,0.003872,0.005328,0.003341,94.661240
969.0,0.004464,0.004014,0.005408,0.003461,94.693985
968.5,0.005080,0.003565,0.005693,0.003248,94.709824
968.0,0.004594,0.003882,0.005006,0.003075,94.718575
967.5,0.004621,0.003884,0.005536,0.003212,94.724442
967.0,0.005261,0.003910,0.005598,0.002979,94.773117
966.5,0.004390,0.003921,0.005828,0.002623,94.829529
966.0,0.005085,0.003910,0.005739,0.003583,94.867554
965.5,0.004668,0.003715,0.005668,0.003355,94.850487
965.0,0.004825,0.003592,0.005221,0.003783,94.855881
964.5,0.004691,0.003602,0.005714,0.003329,94.884689
964.0,0.004846,0.004349,0.005612,0.003053,94.953468
963.5,0.004772,0.003817,0.006017,0.002728,95.012863
963.0,0.005228,0.003628,0.006323,0.003441,95.034561
962.5,0.004535,0.003484,0.005693,0.003094,95.019218
962.0,0.005199,0.003834,0.006157,0.003400,95.026787
961.5,0.005383,0.003508,0.006363,0.003110,95.077881
961.0,0.005166,0.003939,0.005823,0.002873,95.145538
960.5,0.004530,0.003465,0.005979,0.003363,95.199280
960.0,0.004656,0.003695,0.005390,0.002940,95.205978
959.5,0.004818,0.003450,0.005576,0.003027,95.197273
959.0,0.004749,0.003728,0.005427,0.003084,95.219292
958.5,0.004981,0.003630,0.005293,0.003516,95.256668
958.0,0.004980,0.003822,0.006346,0.003255,95.319283
957.5,0.004490,0.002972,0.005115,0.003355,95.367340
957.0,0.004958,0.003731,0.005118,0.003134,95.385582
956.5,0.004414,0.003679,0.005755,0.002933,95.366402
956.0,0.005386,0.003789,0.005292,0.002976,95.377144
955.5,0.004987,0.003547,0.005522,0.003019,95.424667
955.0,0.005034,0.003437,0.005528,0.003170,95.471359
954.5,0.004589,0.003489,0.005636,0.003391,95.520454
954.0,0.004869,0.003674,0.005169,0.002572,95.532959
953.5,0.004891,0.003162,0.005327,0.002803,95.534943
953.0,0.005361,0.002742,0.004772,0.003312,95.532173
952.5,0.004975,0.003540,0.005224,0.003023,95.558670
952.0,0.004741,0.003637,0.004710,0.003530,95.606903
951.5,0.004972,0.003090,0.004743,0.003401,95.637383
951.0,0.005196,0.003683,0.004957,0.003264,95.656654
950.5,0.004809,0.003611,0.004651,0.003254,95.653374
950.0,0.005243,0.003295,0.005158,0.003434,95.644394
949.5,0.004754,0.003101,0.005203,0.003073,95.651314
949.0,0.005426,0.003510,0.004669,0.003437,95.677650
948.5,0.005027,0.003385,0.004520,0.003464,95.713188
948.0,0.005615,0.003109,0.004559,0.003377,95.741119
947.5,0.005566,0.003312,0.004738,0.003808,95.744087
947.0,0.005139,0.003186,0.004228,0.002734,95.739273
946.5,0.005234,0.003077,0.004698,0.003698,95.728302
946.0,0.005131,0.003828,0.004541,0.003345,95.737442
945.5,0.004634,0.002747,0.004523,0.003332,95.745537
945.0,0.005001,0.003256,0.004594,0.003150,95.768745
944.5,0.005409,0.003472,0.004961,0.002807,95.798126
944.0,0.006015,0.003424,0.004495,0.003190,95.794716
943.5,0.005548,0.002809,0.004491,0.003296,95.783356
943.0,0.005508,0.003293,0.004867,0.003489,95.766357
942.5,0.005625,0.003574,0.004028,0.003539,95.777336
942.0,0.005572,0.003950,0.004157,0.003147,95.793190
941.5,0.006075,0.002977,0.004396,0.003234,95.801620
941.0,0.005878,0.003170,0.004028,0.003140,95.808083
940.5,0.005970,0.003647,0.004914,0.003246,95.812164
940.0,0.005661,0.003005,0.004030,0.003822,95.792282
939.5,0.005896,0.003527,0.004290,0.003995,95.796677
939.0,0.006355,0.003046,0.004127,0.003317,95.795395
938.5,0.005564,0.003577,0.004140,0.003815,95.797501
938.0,0.005581,0.003124,0.003710,0.003811,95.804825
937.5,0.005997,0.003466,0.003964,0.003470,95.814171
937.0,0.006477,0.002903,0.004334,0.003038,95.812698
936.5,0.005741,0.003117,0.004037,0.003334,95.806381
936.0,0.006615,0.003674,0.004708,0.003455,95.799026
935.5,0.006289,0.003522,0.004388,0.002974,95.806160
935.0,0.006553,0.002853,0.004678,0.003272,95.786980
934.5,0.005818,0.003850,0.003707,0.002873,95.790672
934.0,0.006587,0.003019,0.004206,0.003449,95.798996
933.5,0.006240,0.003229,0.003918,0.003123,95.798042
933.0,0.006493,0.002657,0.004741,0.003184,95.792786
932.5,0.006397,0.003305,0.004003,0.003037,95.789856
932.0,0.006865,0.003081,0.004382,0.003355,95.781609
931.5,0.006497,0.003653,0.004054,0.003381,95.785774
931.0,0.006656,0.003143,0.003120,0.003575,95.785454
930.5,0.007187,0.003105,0.004068,0.003529,95.775970
930.0,0.006969,0.003361,0.004611,0.003306,95.780098
929.5,0.006645,0.003378,0.004306,0.003572,95.768227
