699,0.000166955
700,0.000161349
701,0.000155892
702,0.000150832
703,0.000145555
704,0.000140954
705,0.000136387
706,0.000131866
707,0.000127609
708,0.000122988
709,0.000119211
710,0.000115074
711,0.000111505
712,0.000107527
713,0.000104273
714,0.000100622
715,9.73E-05
716,9.43E-05
717,9.04E-05
718,8.79E-05
719,8.49E-05
720,8.23E-05
721,7.95E-05
722,7.71E-05
723,7.40E-05
724,7.16E-05
725,6.99E-05
726,6.73E-05
727,6.47E-05
728,6.20E-05
729,6.02E-05
730,5.86E-05
731,5.66E-05
732,5.46E-05
733,5.28E-05
734,5.15E-05
735,4.98E-05
736,4.76E-05
737,4.59E-05
738,4.42E-05
739,4.31E-05
740,4.19E-05
741,4.02E-05
742,3.88E-05
743,3.74E-05
744,3.66E-05
745,3.54E-05
746,3.39E-05
747,3.32E-05
748,3.20E-05
749,3.08E-05
750,2.98E-05
751,2.90E-05
752,2.81E-05
753,2.70E-05
754,2.65E-05
755,2.57E-05
756,2.43E-05
757,2.37E-05
758,2.30E-05
759,2.25E-05
760,2.16E-05
761,2.10E-05
762,2.03E-05
763,1.96E-05
764,1.89E-05
765,1.84E-05
766,1.76E-05
767,1.73E-05
768,1.69E-05
769,1.62E-05
770,1.55E-05
771,1.52E-05
772,1.48E-05
773,1.43E-05
774,1.38E-05
775,1.35E-05
776,1.32E-05
777,1.25E-05
778,1.19E-05
779,1.19E-05
780,1.15E-05
781,1.11E-05
782,1.08E-05
783,1.06E-05
784,1.02E-05
785,1.00E-05
786,9.70E-06
787,9.35E-06
788,9.15E-06
789,8.89E-06
790,8.61E-06
791,8.21E-06
792,8.09E-06
793,7.82E-06
794,7.74E-06
795,7.45E-06
796,7.41E-06
797,6.97E-06
798,6.75E-06
799,6.77E-06
800,6.50E-06
801,6.35E-06
802,6.10E-06
803,6.07E-06
804,5.85E-06
805,5.47E-06
806,5.45E-06
807,5.33E-06
808,5.23E-06
809,5.09E-06
810,4.81E-06
811,4.90E-06
812,4.77E-06
